name,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88,attr89,attr90,attr91,attr92,attr93,attr94,attr95,attr96,attr97,attr98,attr99,attr100,attr101,attr102,attr103,attr104,attr105,attr106,attr107,attr108,attr109,attr110,attr111,attr112,attr113,attr114,attr115,attr116,attr117,attr118,attr119,attr120,attr121,attr122,attr123,attr124,attr125,attr126,attr127,attr128,attr129,attr130,attr131,attr132,attr133,attr134,attr135,attr136,attr137,attr138,attr139,attr140,attr141,attr142,attr143,attr144,attr145,attr146,attr147,attr148,attr149,attr150,Category
0.jpg,0.00312,0.00000,0.01869,0.00000,0.00000,0.00000,0.00000,0.04517,0.00000,0.00156,0.00312,0.00000,0.00078,0.00000,0.00000,0.02025,0.03583,0.01869,0.00000,0.00623,0.00389,0.00000,0.00545,0.03349,0.00000,0.05062,0.00078,0.00000,0.00000,0.00000,0.00545,0.00000,0.00389,0.00000,0.00000,0.00000,0.00000,0.00389,0.01947,0.00000,0.00000,0.02726,0.00078,0.00000,0.01090,0.00078,0.00389,0.00000,0.00156,0.04829,0.00000,0.00000,0.03660,0.00000,0.00000,0.00000,0.02025,0.00234,0.02492,0.00000,0.00000,0.01402,0.05841,0.01402,0.00156,0.00078,0.00000,0.00545,0.00078,0.00000,0.02259,0.00078,0.00000,0.00000,0.00078,0.00000,0.00078,0.02414,0.00000,0.00156,0.00857,0.00078,0.01713,0.00000,0.00389,0.00000,0.00000,0.00000,0.02882,0.00078,0.00078,0.00000,0.00000,0.06231,0.00156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00156,0.00234,0.00000,0.00000,0.00000,0.00000,0.00000,0.00234,0.00000,0.00000,0.00545,0.00857,0.00312,0.00000,0.00156,0.00000,0.02960,0.00000,0.00312,0.00857,0.00000,0.00389,0.05452,0.00000,0.00000,0.00935,0.00000,0.00000,0.00078,0.00779,0.00467,0.03660,0.00935,0.00000,0.00389,0.00857,0.00078,0.01636,0.01869,0.00000,0.00156,0.00000,0.00312,0.00857,0.00234,0.00000,0.00312,0.00078,0.01090,0.00000,African people
1.jpg,0.00000,0.00000,0.02894,0.00000,0.00000,0.00000,0.00000,0.02412,0.00000,0.00161,0.00000,0.00000,0.00000,0.00000,0.00000,0.06431,0.00161,0.00482,0.00000,0.02251,0.00161,0.00000,0.04341,0.00482,0.00000,0.00322,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03537,0.00000,0.00161,0.00000,0.00000,0.01608,0.00161,0.00000,0.00000,0.10611,0.04180,0.00000,0.00000,0.00643,0.00804,0.00000,0.00000,0.00643,0.00000,0.00000,0.00322,0.00000,0.00000,0.00000,0.00161,0.00000,0.00965,0.00000,0.00000,0.00804,0.01768,0.02733,0.00161,0.00000,0.00000,0.00000,0.00000,0.00000,0.02894,0.00643,0.00000,0.00000,0.00000,0.00000,0.00322,0.00482,0.00000,0.00000,0.00322,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01447,0.00161,0.00000,0.00000,0.00000,0.02894,0.03698,0.00000,0.00000,0.00000,0.00000,0.00000,0.00161,0.01286,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00322,0.00322,0.00000,0.00000,0.00000,0.03698,0.00000,0.00000,0.00000,0.00000,0.00804,0.04823,0.00322,0.00000,0.00000,0.00000,0.00000,0.00161,0.01286,0.00000,0.00000,0.00161,0.00000,0.00000,0.05788,0.00161,0.00965,0.16238,0.00000,0.00000,0.00000,0.00161,0.00000,0.00322,0.00000,0.00000,0.00322,0.00482,0.00000,African people
10.jpg,0.00316,0.00000,0.03718,0.00000,0.00000,0.00000,0.00079,0.15427,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01187,0.00000,0.00158,0.00000,0.01820,0.00000,0.00000,0.01503,0.00000,0.00000,0.00475,0.00000,0.00000,0.00000,0.00000,0.00791,0.00475,0.01820,0.00237,0.00000,0.00000,0.00000,0.03481,0.00000,0.00000,0.00000,0.13291,0.00475,0.00000,0.02373,0.00079,0.00475,0.00316,0.00000,0.00158,0.00000,0.00000,0.00870,0.00000,0.00000,0.00000,0.00158,0.00000,0.04114,0.00000,0.00000,0.00316,0.01187,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03244,0.00000,0.00000,0.00000,0.00237,0.00000,0.00000,0.00000,0.00000,0.00079,0.00000,0.00000,0.00791,0.00316,0.00000,0.00158,0.00000,0.00000,0.00475,0.02136,0.00000,0.00000,0.00000,0.01424,0.01661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00396,0.00000,0.00000,0.00000,0.00000,0.02373,0.00000,0.00237,0.00000,0.00000,0.04984,0.05854,0.00079,0.00000,0.00000,0.00000,0.00000,0.00079,0.00396,0.00000,0.00949,0.00000,0.00000,0.00000,0.01741,0.00079,0.00949,0.13212,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00158,0.02215,0.00079,0.00237,African people
100.jpg,0.00304,0.00000,0.00380,0.00000,0.00076,0.00683,0.00152,0.00380,0.00000,0.00380,0.00152,0.00683,0.03721,0.00076,0.00000,0.00683,0.02809,0.00000,0.00152,0.00380,0.00000,0.00000,0.02506,0.00076,0.00000,0.00076,0.10554,0.00000,0.00000,0.00076,0.00987,0.00152,0.08125,0.01215,0.00532,0.00000,0.00228,0.00607,0.00000,0.00000,0.00000,0.00076,0.02733,0.00000,0.00304,0.05998,0.00076,0.00000,0.00152,0.00152,0.00000,0.00000,0.00380,0.01367,0.00000,0.01519,0.00152,0.00000,0.00000,0.00152,0.00000,0.00000,0.00152,0.00456,0.00076,0.00000,0.00000,0.00304,0.00000,0.00380,0.04252,0.00152,0.00304,0.00000,0.00304,0.00000,0.01291,0.00076,0.00000,0.00076,0.04935,0.00304,0.00000,0.00000,0.00380,0.00000,0.00152,0.00911,0.01595,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04024,0.00000,0.00000,0.01367,0.00835,0.00076,0.00000,0.00000,0.00000,0.00456,0.00000,0.00000,0.00000,0.00000,0.00987,0.00076,0.00456,0.00000,0.00000,0.00000,0.00380,0.00607,0.00911,0.00456,0.00000,0.00000,0.00076,0.00304,0.00076,0.00456,0.00000,0.00000,0.02582,0.00076,0.06682,0.00304,0.00759,0.00000,0.00000,0.00076,0.00000,0.00076,0.00152,0.00228,0.00000,0.00152,0.03037,0.01898,0.00532,0.00456,0.02582,0.01063,0.02278,0.00228,Beaches
101.jpg,0.12336,0.00000,0.07290,0.00000,0.00000,0.00000,0.00000,0.01495,0.00000,0.02991,0.00000,0.00000,0.01495,0.00000,0.00000,0.00000,0.01869,0.00187,0.00000,0.00000,0.00000,0.00000,0.00561,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03925,0.00187,0.05047,0.02430,0.00000,0.00000,0.00187,0.01121,0.00000,0.00000,0.00000,0.01121,0.07477,0.00000,0.01495,0.00000,0.00000,0.00000,0.00000,0.00374,0.00000,0.00000,0.00374,0.00000,0.00000,0.00187,0.00187,0.00000,0.00000,0.00000,0.00000,0.01495,0.00000,0.00374,0.00000,0.00000,0.00000,0.00000,0.00000,0.00187,0.01308,0.00187,0.02804,0.00000,0.00000,0.00561,0.00561,0.00000,0.00000,0.00000,0.00000,0.01121,0.00000,0.00000,0.00374,0.00187,0.00000,0.00000,0.00000,0.00187,0.00000,0.00000,0.00000,0.00187,0.00187,0.00000,0.00374,0.00000,0.00000,0.00000,0.00561,0.00561,0.00000,0.00000,0.00000,0.01308,0.00000,0.00000,0.00000,0.00000,0.00561,0.00000,0.00000,0.00187,0.00000,0.00000,0.00187,0.00000,0.00935,0.00000,0.00000,0.00187,0.01495,0.01682,0.00000,0.00000,0.00000,0.00000,0.02617,0.00000,0.02991,0.00748,0.00000,0.00000,0.00000,0.00000,0.00000,0.08037,0.02991,0.00000,0.00561,0.00374,0.00374,0.03925,0.00000,0.02430,0.00000,0.01121,0.03738,0.00000,Beaches
102.jpg,0.07891,0.00000,0.02846,0.00000,0.00388,0.00259,0.00000,0.00000,0.00000,0.04140,0.00000,0.00000,0.00129,0.00129,0.00000,0.00000,0.00129,0.00129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00129,0.00259,0.00000,0.00000,0.00000,0.00129,0.00000,0.00129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00517,0.00000,0.00259,0.00000,0.00000,0.00000,0.00000,0.01035,0.00000,0.00000,0.00000,0.00000,0.05045,0.00000,0.00000,0.00000,0.00129,0.00647,0.04916,0.00000,0.00000,0.01035,0.01423,0.00000,0.00000,0.00000,0.01423,0.25873,0.00000,0.00000,0.00129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00259,0.00000,0.00000,0.00000,0.00000,0.00259,0.00000,0.00000,0.00000,0.01035,0.00000,0.00000,0.00000,0.00000,0.03752,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01811,0.00000,0.00000,0.00000,0.00000,0.00000,0.04010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01164,0.00776,0.00000,0.00000,0.00000,0.00776,0.00000,0.00517,0.00000,0.00000,0.00129,0.17594,0.00000,0.01294,0.00000,0.07115,0.00000,0.00000,0.00259,0.00000,Beaches
103.jpg,0.00333,0.00166,0.00333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00166,0.00000,0.00333,0.00000,0.00000,0.01331,0.00000,0.00000,0.00000,0.00166,0.00000,0.00166,0.00000,0.00000,0.00333,0.00000,0.00000,0.00000,0.00000,0.00998,0.01331,0.00666,0.00000,0.00166,0.00000,0.00000,0.00000,0.00166,0.00000,0.00000,0.00000,0.00000,0.10150,0.00000,0.00166,0.00333,0.00000,0.00000,0.00166,0.00000,0.00000,0.00166,0.00000,0.00000,0.00000,0.00000,0.00998,0.00000,0.00000,0.00000,0.03328,0.00333,0.01331,0.00000,0.00000,0.40266,0.00000,0.00000,0.00000,0.02329,0.00000,0.00832,0.00000,0.00499,0.01830,0.00499,0.00333,0.00000,0.00000,0.01498,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01165,0.00166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03661,0.00000,0.00499,0.00000,0.00000,0.00000,0.00000,0.01664,0.00000,0.00000,0.00000,0.00000,0.00166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00166,0.00333,0.01331,0.00166,0.00000,0.00000,0.00000,0.04326,0.00000,0.00000,0.00000,0.00000,0.00166,0.07155,0.00333,0.00166,0.00166,0.00000,0.00000,0.01498,0.00000,0.00166,0.00000,0.00000,0.00998,0.00000,0.00000,0.02329,0.00000,0.00000,0.00000,0.00166,0.01498,0.00000,Beaches
104.jpg,0.12392,0.00000,0.00576,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01585,0.00000,0.00000,0.00865,0.00000,0.00000,0.00000,0.03026,0.00144,0.00000,0.00000,0.00000,0.00144,0.00432,0.00000,0.00000,0.00000,0.00865,0.00000,0.00000,0.00000,0.00000,0.00000,0.01441,0.00000,0.01297,0.00000,0.00720,0.00000,0.00000,0.00000,0.00000,0.00000,0.01153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00144,0.00000,0.00144,0.00288,0.00288,0.00000,0.00000,0.00000,0.00000,0.00432,0.00000,0.00000,0.00000,0.00000,0.00144,0.00288,0.00000,0.00144,0.00720,0.00144,0.09654,0.00000,0.00000,0.01153,0.02161,0.00144,0.00000,0.00000,0.04611,0.02882,0.00000,0.00000,0.01153,0.00144,0.00000,0.00576,0.00000,0.00000,0.00000,0.00000,0.00000,0.00432,0.00000,0.00000,0.01873,0.00000,0.00000,0.00144,0.00865,0.00144,0.00000,0.00000,0.00000,0.00865,0.00000,0.00000,0.00000,0.00000,0.06916,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00576,0.00144,0.00432,0.00000,0.00000,0.00144,0.00865,0.00000,0.00000,0.00000,0.00000,0.00865,0.00432,0.06772,0.01153,0.00720,0.00000,0.00000,0.00000,0.00000,0.00720,0.00000,0.00000,0.00144,0.08790,0.00144,0.05620,0.00144,0.04611,0.00000,0.00000,0.06628,0.00000,Beaches
105.jpg,0.00619,0.00000,0.00929,0.00000,0.00000,0.00000,0.00000,0.02632,0.00155,0.02632,0.08978,0.01084,0.00000,0.00000,0.00000,0.02012,0.00310,0.00155,0.00619,0.00000,0.00000,0.00000,0.00464,0.05728,0.00000,0.00310,0.00000,0.00000,0.00000,0.00000,0.14087,0.00000,0.01393,0.00155,0.00310,0.00000,0.00000,0.00464,0.00000,0.00000,0.00000,0.00464,0.00929,0.00000,0.00000,0.00774,0.00155,0.00000,0.00155,0.00310,0.00000,0.00000,0.00774,0.00000,0.00000,0.00000,0.00155,0.00000,0.00310,0.00000,0.00000,0.00155,0.00155,0.00310,0.00619,0.01703,0.00155,0.00155,0.00000,0.00000,0.00774,0.00000,0.01238,0.00000,0.02012,0.00000,0.00000,0.00000,0.00000,0.00155,0.00000,0.01548,0.01238,0.00000,0.00000,0.00464,0.00000,0.00000,0.00155,0.00155,0.00000,0.00155,0.00000,0.00464,0.00155,0.00000,0.00155,0.00000,0.00000,0.00000,0.00310,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00619,0.00310,0.18421,0.00000,0.00619,0.00000,0.00000,0.01548,0.00464,0.01084,0.01084,0.01548,0.00619,0.00000,0.00000,0.00000,0.00619,0.00000,0.00000,0.00464,0.00000,0.00000,0.00000,0.00000,0.00619,0.00000,0.02786,0.00310,0.01548,0.00000,0.00774,0.00774,0.00000,0.00619,0.00000,0.00155,0.02012,0.01703,0.00000,0.02012,Beaches
106.jpg,0.01848,0.00000,0.00000,0.00000,0.02079,0.00000,0.00000,0.00000,0.00000,0.00462,0.00000,0.00000,0.02540,0.00000,0.00000,0.00000,0.01848,0.00000,0.00000,0.00000,0.00000,0.00231,0.00000,0.00000,0.00000,0.00231,0.02540,0.00000,0.00000,0.00231,0.00000,0.00000,0.00000,0.00000,0.01617,0.00000,0.00000,0.00231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01155,0.00000,0.00000,0.00000,0.00000,0.02309,0.00000,0.01155,0.00231,0.00000,0.08776,0.03233,0.00000,0.00000,0.00924,0.00000,0.01617,0.00000,0.00000,0.01155,0.02079,0.00231,0.00000,0.00000,0.00231,0.00462,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00231,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00462,0.00000,0.00924,0.06005,0.00000,0.00000,0.00000,0.00000,0.00000,0.11547,0.00000,0.00000,0.00000,0.00000,0.01617,0.00462,0.00000,0.00000,0.00000,0.00000,0.00231,0.00000,0.00462,0.00000,0.00000,0.00000,0.00000,0.02079,0.00000,0.03233,0.00000,0.00000,0.01848,0.00462,0.09007,0.00462,0.00000,0.00462,0.00231,0.00231,0.00000,0.00000,0.00000,0.00000,0.01155,0.01155,0.00231,0.03926,0.00231,0.09469,0.00000,0.00000,0.06236,0.00000,Beaches
